,id,overall_sent,time_period_labour,time_period_conservatives
1781340,1173927151147638785,2,2,1
1984939,1174378127667138561,0,1,1
4368754,1180019406224707584,0,1,4
4655677,1180746254453760000,-3,1,1
2595489,1176166284691685376,0,1,1
1103508,1172374243310391297,1,1,1
2425401,1175703929587470336,0,3,1
1913299,1174249654063706112,-1,1,1
1634602,1173607615932313600,-1,2,1
663886,1171578033981067264,0,1,1
1828967,1174036532577091584,0,2,1
3569294,1178304745318027264,0,1,3
1769691,1173904542322348038,-2,2,1
427183,1171165449360478209,1,1,1
2074649,1174635766699515904,-1,3,1
474468,1171235343166836736,2,1,1
3135719,1177240293856423937,-2,4,2
618681,1171471408339148804,1,1,1
627890,1171496958705295360,0,1,1
4457856,1180176532825935872,1,1,4
849239,1171908595899883520,0,1,1
3879048,1179013789968195584,-1,1,3
1133097,1172424609959796739,1,1,1
1054792,1172239463700926470,3,1,1
976050,1172124032885559298,2,1,1
2565540,1176096425643577346,-1,1,1
3539316,1178241667255734272,1,1,3
1471299,1173214318357352448,-2,2,1
1195260,1172532011224961025,-1,1,1
2208254,1174975980722511873,0,3,1
4494242,1180255693598789632,-3,1,4
2311059,1175326714555187200,-1,3,1
3010663,1176973713331429377,0,4,2
3911401,1179092968478777344,-1,1,3
1617764,1173576375900540931,2,2,1
2623199,1176213886590173184,1,1,1
608384,1171455127678418945,-1,1,1
1875878,1174199471506382849,1,1,1
648558,1171537309902278657,0,1,1
3826813,1178926160400572416,1,1,3
3863095,1178982089385025536,-2,1,3
4777144,1180961555296468992,0,1,1
358302,1171098118848487431,-2,1,1
841911,1171901427515613184,2,1,1
4726606,1180865170547064834,1,1,1
523480,1171341871127388162,1,1,1
1065675,1172252704502112258,3,1,1
569910,1171397446192246784,1,1,1
1161128,1172465124940144640,-1,1,1
2475414,1175841269383421952,0,3,1
2486585,1175874064730284032,0,3,1
2637403,1176237709934960640,-1,1,1
1402934,1173006417428713475,-2,1,1
2469119,1175820228846129157,-1,3,1
1862710,1174097335363743745,-1,2,1
2322177,1175348396191834112,-3,3,1
3327040,1177711680089919489,0,1,2
1294082,1172783684673581056,1,1,1
2416404,1175690894500122627,2,3,1
4756185,1180925037605470208,-3,1,1
603989,1171448477122879488,-1,1,1
3520471,1178218230785155072,0,1,3
1470614,1173212965698527232,-1,2,1
1838635,1174051915040219137,0,2,1
1065694,1172252729357549569,3,1,1
3592914,1178360357825519619,-2,1,3
4049829,1179429544727433216,2,1,1
3292044,1177642759475339265,-3,1,2
359274,1171099059618242560,-1,1,1
1994191,1174397072423956482,-1,1,1
2202055,1174966238348369920,-1,3,1
1941111,1174286456145305600,0,1,1
821429,1171881558330028032,0,1,1
4335572,1179892798251651072,2,1,4
1695606,1173704137806139392,-1,2,1
620798,1171474609671045120,-2,1,1
2491290,1175888488681680896,-1,3,1
1753019,1173875543432974336,0,2,1
3286584,1177631107694682118,2,1,2
4715267,1180838224559779840,0,1,1
2197274,1174958611618885633,0,3,1
4208002,1179709484672917504,1,1,4
4531862,1180415449965699072,-1,1,4
4706553,1180820083876270080,0,1,1
2440225,1175730541146062850,0,3,1
2184150,1174938970091745280,0,3,1
4756615,1180925872745959424,-3,1,1
665104,1171586449461915650,0,1,1
1272149,1172748577728282624,0,1,1
1161798,1172465989633683458,-1,1,1
260936,1171014867580575744,-2,1,1
2517523,1176023692272439296,3,1,1
2435673,1175722040218783744,-1,3,1
4644862,1180707862609199105,2,1,1
2501024,1175921136414203905,-3,3,1
2089764,1174664730679676929,-1,3,1
2491913,1175889977399480320,-1,3,1
2355558,1175462813030080514,-2,3,1
4352474,1179992559705362432,0,1,4
1830768,1174039533790400512,1,2,1
1933393,1174275035323932672,2,1,1
2788417,1176546035637862408,-2,4,1
2105285,1174704155702812674,1,3,1
3843223,1178948006080630784,-1,1,3
2805670,1176569528253370369,1,4,1
2592463,1176158763641913346,0,1,1
613554,1171463266331062272,1,1,1
3213808,1177470118923624448,-1,1,2
1132241,1172422924805918722,0,1,1
870120,1171960792037638144,2,1,1
2638026,1176238920914395136,-1,1,1
707877,1171705333137514496,1,1,1
1913020,1174249337464983552,0,1,1
2625563,1176217546585976832,-2,1,1
1853059,1174076303571599360,-1,2,1
1483867,1173244734833344514,0,2,1
2556073,1176080890109337600,0,1,1
717628,1171716687462305792,0,1,1
1337594,1172855492558970881,-1,1,1
1914908,1174251526505881600,-3,1,1
3481211,1178076690435706881,-1,1,1
1291068,1172779986337640448,-2,1,1
2364529,1175487989692215298,1,3,1
2612199,1176196953253797898,0,1,1
2972389,1176917606667829248,3,4,2
1388207,1172972409839919104,-2,1,1
991345,1172147875620564998,-3,1,1
697124,1171692388701691904,0,1,1
286080,1171034292832669696,1,1,1
3140776,1177250931559346177,-1,4,2
2078003,1174642079470956544,0,3,1
3779766,1178768235489050627,0,1,3
2430598,1175712703077371904,0,3,1
2152075,1174800654189105159,-2,3,1
1727003,1173828647234560000,-2,2,1
2658096,1176342512425951233,1,4,1
3330046,1177719130486644736,0,1,2
4083334,1179471998818377728,-1,1,1
1964170,1174328604274176000,2,1,1
1264273,1172678072073474048,0,1,1
2792390,1176551325540278272,0,4,1
944383,1172087533016166401,1,1,1
2979726,1176932687610830848,-1,4,2
152667,1170849408432390145,-2,1,1
3581142,1178332922048180225,0,1,3
3592465,1178359293197856768,-2,1,3
1946595,1174294532285980673,-2,1,1
3323754,1177703555169443840,0,1,2
2415717,1175689984738824193,0,3,1
2354396,1175458989380968454,0,3,1
2019404,1174445995050094592,1,1,1
2442174,1175734280523112449,-2,3,1
3907471,1179085050069032960,-1,1,3
1000930,1172164041709686785,0,1,1
3768325,1178750904482312199,0,1,3
783222,1171833820204679169,0,1,1
2456110,1175775785728303104,1,3,1
2247271,1175075552258154496,0,3,1
1439947,1173158536458723328,0,2,1
2633599,1176230808505475073,-1,1,1
3174792,1177318188088008705,-1,4,2
3911724,1179093602137452548,-1,1,3
3920758,1179111445486866434,-1,1,3
2295369,1175293944185442304,-2,3,1
764054,1171798516727013379,1,1,1
1388978,1172974215475224576,-2,1,1
3480542,1178074931864752128,-1,1,1
647352,1171535428366864384,0,1,1
2296871,1175298565511503872,0,3,1
2466797,1175812869310619648,-1,3,1
1953380,1174305836816109568,-1,1,1
3952389,1179170500343402496,-1,1,3
1124683,1172412350986477568,0,1,1
550782,1171374561633419268,1,1,1
4504483,1180346573051613184,1,1,4
2031976,1174527928274542593,0,3,1
2898666,1176774914390540288,-1,4,2
1541807,1173360144538882049,-1,2,1
2644868,1176256961530277894,-1,1,1
1982587,1174373186663829505,0,1,1
652909,1171544598033969156,0,1,1
1373204,1172939858467315712,0,1,1
1943747,1174290207237165057,0,1,1
2886709,1176761211905597440,-3,4,2
3912392,1179094970675978240,-1,1,3
575532,1171404174308925440,1,1,1
3073129,1177136682459701249,-2,4,2
1890897,1174221922940477440,-2,1,1
2680941,1176404971979530240,1,4,1
3117619,1177200705955745792,-1,4,2
2647060,1176263771364503552,-2,1,1
534092,1171353656983207936,-2,1,1
2303853,1175314714554961920,2,3,1
2264140,1175125992286744576,0,3,1
3020707,1176987391065755648,-1,4,2
905981,1172051174545068033,2,1,1
2504191,1175951737464639488,0,1,1
1126996,1172415582878126083,-1,1,1
2455483,1175772095189520394,1,3,1
756260,1171781503673688064,-1,1,1
4112116,1179507794946482177,0,1,1
1944445,1174291197256486913,-2,1,1
2542894,1176059607816560640,2,1,1
1919563,1174257322253832192,0,1,1
1016226,1172186946573078528,2,1,1
2404684,1175668892926128129,1,3,1
577792,1171406822340726784,-3,1,1
794013,1171850330797236225,0,1,1
970585,1172117330933014535,2,1,1
4481711,1180227553459609604,0,1,4
2301936,1175310944315920386,0,3,1
777146,1171823154324488193,1,1,1
382704,1171123327362093056,-3,1,1
4069580,1179454252114153482,0,1,1
2330976,1175369535056166914,1,3,1
1307363,1172803738240770049,-2,1,1
3866857,1178988413976006656,0,1,3
1062150,1172248346762842116,2,1,1
1988136,1174384589218963456,-1,1,1
540592,1171361490101780480,-1,1,1
2602368,1176180860216848384,-2,1,1
2074280,1174635083996782592,0,3,1
2465258,1175808334441648128,-3,3,1
2237417,1175045399473790976,0,3,1
1918035,1174255388553818115,-1,1,1
618180,1171470578785480714,1,1,1
2605186,1176186303890776070,-1,1,1
1986789,1174381709900603393,1,1,1
2459901,1175790964281155585,0,3,1
1565208,1173488633376100352,-1,2,1
4076613,1179463756084121601,0,1,1
2302849,1175312826216386560,-2,3,1
1795060,1173961297278488577,-2,2,1
4097311,1179490046862352390,0,1,1
579457,1171408811657236481,1,1,1
3940347,1179148176609206272,-1,1,3
223211,1170984974264229888,-1,1,1
1445124,1173167041018245120,-2,2,1
508025,1171325317555904512,1,1,1
2370117,1175501939934674945,0,3,1
2773903,1176524700660436998,1,4,1
3884441,1179025864421466112,-1,1,3
4278991,1179813165489704962,2,1,4
3018704,1176984312891269121,-1,4,2
2268387,1175137778289577991,-2,3,1
406258,1171145550093266944,-3,1,1
1895458,1174226745223995392,0,1,1
2037485,1174563703452262401,-2,3,1
1039438,1172218727473057793,0,1,1
2644333,1176252568537894922,-2,1,1
3752082,1178727329012572160,0,1,3
1044137,1172226323537940488,3,1,1
160529,1170877317943631872,-2,1,1
2200405,1174963554702675969,0,3,1
1892631,1174223792266256385,1,1,1
3908766,1179087680153493506,-3,1,3
1039030,1172218207656185856,3,1,1
4767199,1180944326391672834,0,1,1
2542231,1176058640706547712,-1,1,1
621712,1171476045389676547,1,1,1
1920515,1174258520595816448,-2,1,1
2489751,1175884437839589376,-2,3,1
4264537,1179792940790697993,0,1,4
594695,1171433492183310340,-2,1,1
687396,1171681239910244352,-1,1,1
2622068,1176212146423812097,1,1,1
1161948,1172466212279918593,-1,1,1
4054428,1179436329341505536,0,1,1
3939325,1179146711366803458,-3,1,3
945587,1172088858307174400,0,1,1
1537748,1173351454297530369,-1,2,1
659238,1171558603922255872,0,1,1
1237977,1172612025824006145,-1,1,1
669281,1171633622517829632,1,1,1
3878392,1179012380166148096,1,1,3
3763374,1178743737930924034,1,1,3
3877354,1179010294493913088,-1,1,3
4278953,1179813110619820036,2,1,4
1861814,1174094634945044480,-3,2,1
2683847,1176410184937345024,-1,4,1
2441473,1175732894385475584,0,3,1
565695,1171392517117566976,1,1,1
4150609,1179639058974347264,1,1,4
626084,1171490373090168833,1,1,1
3949351,1179163272156712961,-1,1,3
2282049,1175179252813246464,-3,3,1
618462,1171471075399454722,-2,1,1
3972930,1179286146800652288,1,1,1
1883086,1174212875692457986,-1,1,1
1945149,1174292206867419136,0,1,1
408525,1171147803533463557,-3,1,1
2900232,1176776757829165056,0,4,2
2654653,1176301438529462272,-1,4,1
4114028,1179509973799161856,0,1,1
3834938,1178937077863522305,0,1,3
575775,1171404477141848065,1,1,1
592612,1171428425887698945,1,1,1
425548,1171163845689323521,-3,1,1
2435206,1175721088183164929,0,3,1
881928,1172024529796960256,0,1,1
3343775,1177822612174639104,0,1,1
1297339,1172787495538323456,1,1,1
3130242,1177228459992604677,-1,4,2
4678283,1180777120445997058,-1,1,1
2656689,1176324409495359488,-1,4,1
2642527,1176246958677266433,2,1,1
427402,1171165662640836609,-1,1,1
4778050,1180963310281248768,0,1,1
3384808,1177896019096420354,0,1,1
3906685,1179083490811420672,-2,1,3
1627992,1173595265430970368,-1,2,1
3786104,1178778268679454721,1,1,3
2354916,1175460688266969089,3,3,1
873856,1171993401576894464,-1,1,1
1034460,1172212084341387264,2,1,1
3581755,1178334402402586624,0,1,3
2428232,1175708803620323328,0,3,1
2575743,1176116649394659328,-1,1,1
461816,1171204314142007306,-1,1,1
378649,1171119204126416901,-1,1,1
1444325,1173165515499606017,1,2,1
629033,1171500074158845953,0,1,1
855239,1171915316990857216,0,1,1
2620407,1176209548849401861,0,1,1
542800,1171364270933774337,-1,1,1
4660738,1180753917128445952,-1,1,1
567455,1171394532975566854,1,1,1
1414270,1173082443492016128,-2,2,1
1612291,1173567408654696449,-1,2,1
2425639,1175704388901515267,-1,3,1
2002161,1174412341418561537,-1,1,1
2627383,1176220419172569099,-1,1,1
370910,1171111065037541381,-2,1,1
1963730,1174327530645610497,0,1,1
480273,1171269832081383424,0,1,1
3222338,1177481826396323842,0,1,2
1104433,1172378225806213126,3,1,1
3513816,1178208923578519552,0,1,3
3945876,1179156783492997120,-2,1,3
4221743,1179726921120260096,-1,1,4
2243255,1175062905152331784,1,3,1
2354885,1175460578871169024,-1,3,1
2625646,1176217669550452738,1,1,1
2628540,1176222214447931395,1,1,1
2633291,1176230277783478273,1,1,1
2441373,1175732686209585152,1,3,1
1688660,1173694260325081088,1,2,1
1888940,1174219915777249280,0,1,1
4094595,1179486529980420096,-1,1,1
